epa , 53.4058043403 , 92
truck , 51.8228656389 , 90
vancouver , 51.3149541857 , 10290
cdc , 51.2949599727 , 168
baseball , 49.8243539085 , 28530
superstitions , 45.3871733772 , 939
dads , 44.954592353 , 178
camel , 44.5972965521 , 99
lobbying , 43.415555892 , 7613
sharks , 40.9320659508 , 2378
halifax , 40.5280505318 , 1370
oakville , 39.7092699401 , 679
boats , 39.4400661967 , 73
college , 39.0268817573 , 13630
shooting , 38.5329007475 , 76
podcasts , 38.1635248479 , 1233
gatineau , 36.5647648678 , 894
canada , 36.5384663123 , 4055
sweden , 36.1511019366 , 1298
hockey , 35.5245946919 , 2808
mississauga , 34.9150542411 , 403
burlington , 34.3637588277 , 735
guelph , 33.5080840573 , 247
moncton , 33.3121510808 , 155
quebec , 31.4735234324 , 715
aaa , 31.4087972393 , 1230
fishing , 30.8924956561 , 1679
peterborough , 30.828061145 , 352
waterloo , 30.5882894979 , 733
ferrari , 30.3905023125 , 1823
vitamins , 29.9426871277 , 307
detroit , 29.47300305 , 1784
hatebreed , 28.8273654299 , 257
reebok , 28.7097791966 , 151
lethbridge , 28.6310525146 , 124
toronto , 28.3642376973 , 1548
ontario , 28.1254674846 , 608
duluth , 27.4354729429 , 95
floorball , 27.3533581783 , 152
wisconsin , 27.1262852596 , 680
maine , 26.7140477683 , 596
newfoundland , 26.3370211496 , 167
hartford , 26.2295587061 , 404
animals , 26.0842371857 , 3417
surfing , 25.5877463229 , 797
zoolander , 25.528633354 , 67
snocross , 25.0695417952 , 134
dodge , 24.8079678004 , 249
fitness , 24.2687405845 , 4900
theatre , 24.1843833934 , 92
hawks , 23.7430035156 , 125
pho , 23.7276582385 , 456
advil , 23.5256966172 , 96
kvass , 23.4724636864 , 78
motown , 23.3892109339 , 139
ducks , 23.2160346417 , 167
volleyball , 23.2107407937 , 1185
manitoba , 23.0654762358 , 59
football , 23.0493239292 , 8072
minneapolis , 22.8248337563 , 194
copenhagen , 22.7580071725 , 342
finland , 22.6997246341 , 62
surrey , 22.6256108777 , 71
ssl , 22.5936628602 , 160
diving , 22.3906030691 , 532
butterfinger , 22.3058584518 , 80
skating , 22.2583140366 , 582
basketball , 22.1639774834 , 10073
ncaa , 22.1044131802 , 1920
hurricanes , 21.8435276762 , 104
airsoft , 21.7646879087 , 98
weather , 21.7423382053 , 2302
centurylink , 21.7079511854 , 66
washington , 21.4243254213 , 1922
math , 21.3070791967 , 1513
anaheim , 21.1705499394 , 73
olympics , 21.0289559499 , 2328
scarborough , 20.8703677359 , 85
bmw , 20.8324611127 , 794
pirates , 20.7600269955 , 69
austria , 20.7184351748 , 342
cars , 20.5326299858 , 2425
hunting , 20.5155980914 , 305
manufacturing , 20.4869289396 , 377
bicycling , 20.0538531806 , 463
leadership , 19.9466553907 , 3306
perfume , 19.8630258583 , 232
lattelecom , 19.7454003953 , 241
blues , 19.7366874364 , 341
guns , 19.6288693578 , 1169
omaha , 19.3831675982 , 689
arlington , 19.1005359346 , 243
bergen , 19.0630845143 , 109
rams , 18.9364894024 , 64
vine , 18.9113387005 , 1347
hedley , 18.7621726956 , 137
boston , 18.5364326382 , 808
philadelphia , 18.38978858 , 543
fitbit , 18.3317161716 , 65
suits , 18.3312086996 , 58
edmonton , 18.1767062008 , 193
management , 18.0108942882 , 3152
chipotle , 17.9826245561 , 121
camping , 17.9515608948 , 164
copywriting , 17.9105768498 , 143
orly , 17.7733441028 , 178
wakeboarding , 17.770028762 , 86
climbing , 17.7617059148 , 356
injuries , 17.7210681843 , 332
snapchat , 17.6087047544 , 462
durham , 17.1455001554 , 89
norml , 17.1205663091 , 112
sheffield , 16.9838586855 , 89
indiana , 16.9807512214 , 673
calgary , 16.8657628324 , 73
zillow , 16.8085726185 , 172
columbus , 16.7361411447 , 278
salad , 16.5014619247 , 108
geico , 16.3809063031 , 61
portland , 16.2906960987 , 497
wine , 16.040905517 , 1270
ios , 15.9740014634 , 736
yukon , 15.9494269131 , 81
trutv , 15.7330413898 , 409
fedex , 15.6208578536 , 62
ebay , 15.544040562 , 270
gps , 15.4864387231 , 168
michigan , 15.3992027584 , 391
nfl , 15.3754359287 , 1505
tallahassee , 15.3053101739 , 104
